,Model,Subsystem,pvalue,ReactionRatio
0,nonDEN_Liver_CD,Exchange reactions,6.320227532492427e-05,0.8823529411764706
1,nonDEN_Liver_CD,"Transport, extracellular",0.0007220773461111614,0.4878048780487805
2,nonDEN_Liver_CD,"Transport, lysosomal",1.0450305340712683e-05,0.96875
3,nonDEN_Liver_CD,"Transport, mitochondrial",0.01731986944867358,0.5
4,nonDEN_Liver_CD,"Valine, leucine, and isoleucine metabolism",0.001043096208219557,0.9523809523809523
5,nonDEN_Liver_CD,Beta-oxidation (mitochondrial),0.12023365040953647,0.59375
6,nonDEN_Liver_CD,Bile acid metabolism,0.18698128578725706,0.65
7,nonDEN_Liver_CD,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.10546534937064986,0.8
8,nonDEN_Liver_CD,Omega-3 fatty acid metabolism,0.007789758193351126,1.0
9,nonDEN_Liver_CD,Carnitine shuttle (mitochondrial),0.04791130935571519,0.47619047619047616
10,nonDEN_Liver_CD,Nucleotide metabolism,0.13765982966623347,0.5555555555555556
11,nonDEN_Liver_CD,Tryptophan metabolism,0.0680925064071334,0.9
12,nonDEN_Liver_CD,Starch and sucrose metabolism,0.0680925064071334,0.9
13,nonDEN_Liver_CD,Glycerophospholipid metabolism,0.15749797573817934,0.5625
14,nonDEN_Liver_CD,Fatty acid oxidation,0.09612807484712016,0.5
15,nonDEN_Liver_CD,Pyruvate metabolism,0.09537646931928823,0.8888888888888888
16,nonDEN_Liver_CD,Glycolysis / Gluconeogenesis,0.024157519312399057,0.42105263157894735
17,nonDEN_Liver_CD,Amino sugar and nucleotide sugar metabolism,0.23768864991086452,0.6666666666666666
18,nonDEN_Liver_CD,Carnitine shuttle (cytosolic),0.23768864991086452,0.6666666666666666
19,nonDEN_Liver_CD,"Transport, peroxisomal",0.21175326215837095,0.7777777777777778
20,nonDEN_Liver_CD,Glycosphingolipid metabolism,0.046047434348024364,1.0
21,nonDEN_Liver_CD,Fatty acid biosynthesis,0.13183536431896198,0.875
22,nonDEN_Liver_CD,"Phenylalanine, tyrosine and tryptophan metabolism",0.21175326215837095,0.7777777777777778
23,nonDEN_Liver_CD,Pyrimidine catabolism,0.159495707941863,0.5384615384615384
24,nonDEN_Liver_CD,"Transport, endoplasmic reticular",0.07165275825326418,1.0
25,nonDEN_Liver_CD,Pentose phosphate pathway,0.18783605912423668,0.5454545454545454
26,nonDEN_Liver_CD,Cysteine and methionine metabolism,0.07165275825326418,1.0
27,nonDEN_Liver_CD,Lysine metabolism,0.07165275825326418,1.0
28,nonDEN_Liver_CD,NAD metabolism,0.18783605912423668,0.5454545454545454
29,nonDEN_Liver_CD,Purine metabolism,0.15812848812945834,0.5
30,nonDEN_Liver_CD,Artificial reactions,0.2385153459664589,0.8333333333333334
31,nonDEN_Liver_CD,"Alanine, aspartate and glutamate metabolism",0.29709190887280135,0.7142857142857143
32,nonDEN_Liver_CD,Fatty acid desaturation,0.2385153459664589,0.8333333333333334
33,nonDEN_Liver_CD,Miscellaneous,0.10206616911322393,0.45454545454545453
34,nonDEN_Liver_CD,Histidine metabolism,0.17307158417678958,1.0
35,nonDEN_Liver_CD,"Glycine, serine, alanine, and threonine metabolism",0.12192823059649441,0.4444444444444444
36,nonDEN_Liver_CD,Galactose metabolism,0.3287056590199284,0.6666666666666666
37,nonDEN_Liver_CD,Omega-6 fatty acid metabolism,0.19216025184651503,0.5
38,nonDEN_Liver_CD,Folate metabolism,0.26865429998346585,1.0
39,nonDEN_Liver_CD,Sphingolipid metabolism,0.26865429998346585,1.0
40,nonDEN_Liver_CD,Oxidative phosphorylation,0.33916447544329087,0.6
41,nonDEN_Liver_CD,Arginine and proline metabolism,0.04396805891203798,0.3333333333333333
42,nonDEN_Liver_CD,Pool reactions,0.38233086322681126,0.75
43,nonDEN_Liver_CD,Cholesterol metabolism,0.44410200609500383,0.6666666666666666
44,nonDEN_Liver_CD,ROS detoxification,0.31470771735011305,0.5
45,nonDEN_Liver_CD,Sulfur metabolism,0.41668830201527574,1.0
46,nonDEN_Liver_CD,Propanoate metabolism,0.44410200609500383,0.6666666666666666
47,nonDEN_Liver_CD,Inositol phosphate metabolism,0.31470771735011305,0.5
48,nonDEN_Liver_CD,Acylglycerides metabolism,0.41668830201527574,1.0
49,nonDEN_Liver_CD,Glycerolipid metabolism,0.41668830201527574,1.0
50,nonDEN_Liver_CD,Fructose and Mannose metabolism,0.41668830201527574,1.0
51,nonDEN_Liver_CD,Butanoate metabolism,0.645772594751186,1.0
52,nonDEN_Liver_CD,Tetrahydrobiopterin metabolism,0.645772594751186,1.0
53,nonDEN_Liver_CD,Carnitine shuttle (peroxisomal),0.05032082899732293,0.2
54,nonDEN_Liver_CD,Biopterin metabolism,0.645772594751186,1.0
55,nonDEN_Liver_CD,Tyrosine metabolism,0.645772594751186,1.0
56,nonDEN_Liver_CD,Steroid metabolism,0.645772594751186,1.0
57,nonDEN_Liver_CD,"Transport, nuclear",0.645772594751186,1.0
58,nonDEN_Liver_WD,Exchange reactions,0.00027375348484578126,0.8823529411764706
59,nonDEN_Liver_WD,"Transport, extracellular",0.002740428044627263,0.5333333333333333
60,nonDEN_Liver_WD,"Transport, lysosomal",3.621590669030003e-05,0.96875
61,nonDEN_Liver_WD,"Transport, mitochondrial",0.004401395970182578,0.4883720930232558
62,nonDEN_Liver_WD,"Valine, leucine, and isoleucine metabolism",0.002243852745988072,0.9523809523809523
63,nonDEN_Liver_WD,Beta-oxidation (mitochondrial),0.027770510711169143,0.8636363636363636
64,nonDEN_Liver_WD,Bile acid metabolism,0.18273637148039804,0.65
65,nonDEN_Liver_WD,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.1808969332953276,0.75
66,nonDEN_Liver_WD,Omega-3 fatty acid metabolism,0.012362369655407095,1.0
67,nonDEN_Liver_WD,Carnitine shuttle (mitochondrial),0.07431310603626073,0.5263157894736842
68,nonDEN_Liver_WD,Nucleotide metabolism,0.14906515197009815,0.5882352941176471
69,nonDEN_Liver_WD,Tryptophan metabolism,0.0916510754670219,0.9
70,nonDEN_Liver_WD,Starch and sucrose metabolism,0.02766583626889662,1.0
71,nonDEN_Liver_WD,Glycerophospholipid metabolism,0.12970971478016394,0.5625
72,nonDEN_Liver_WD,Fatty acid oxidation,0.15508261280693023,0.5714285714285714
73,nonDEN_Liver_WD,Pyruvate metabolism,0.12306527167887843,0.8888888888888888
74,nonDEN_Liver_WD,Glycolysis / Gluconeogenesis,0.013600576981254248,0.42105263157894735
75,nonDEN_Liver_WD,Amino sugar and nucleotide sugar metabolism,0.20289651879262557,0.8
76,nonDEN_Liver_WD,Carnitine shuttle (cytosolic),0.2403828382387441,0.6666666666666666
77,nonDEN_Liver_WD,"Transport, peroxisomal",0.24161438659894977,0.7777777777777778
78,nonDEN_Liver_WD,Glycosphingolipid metabolism,0.06172518515861309,1.0
79,nonDEN_Liver_WD,Fatty acid biosynthesis,0.1630834385142232,0.875
80,nonDEN_Liver_WD,"Phenylalanine, tyrosine and tryptophan metabolism",0.26432390521596066,0.7
81,nonDEN_Liver_WD,Pyrimidine catabolism,0.1861312985995139,0.5833333333333334
82,nonDEN_Liver_WD,"Transport, endoplasmic reticular",0.09209341126634712,1.0
83,nonDEN_Liver_WD,Pentose phosphate pathway,0.10435278754434599,0.5
84,nonDEN_Liver_WD,Cysteine and methionine metabolism,0.2125775827545946,0.8571428571428571
85,nonDEN_Liver_WD,Lysine metabolism,0.09209341126634712,1.0
86,nonDEN_Liver_WD,NAD metabolism,0.27478798658952325,0.6666666666666666
87,nonDEN_Liver_WD,Purine metabolism,0.12972345458902781,0.5
88,nonDEN_Liver_WD,Artificial reactions,0.27123401948311204,0.8333333333333334
89,nonDEN_Liver_WD,"Alanine, aspartate and glutamate metabolism",0.27123401948311204,0.8333333333333334
90,nonDEN_Liver_WD,Fatty acid desaturation,0.27123401948311204,0.8333333333333334
91,nonDEN_Liver_WD,Miscellaneous,0.19950360670213305,0.5555555555555556
92,nonDEN_Liver_WD,Histidine metabolism,0.20454122799968646,1.0
93,nonDEN_Liver_WD,"Glycine, serine, alanine, and threonine metabolism",0.0517120832644148,0.4
94,nonDEN_Liver_WD,Galactose metabolism,0.3305471535842917,0.6666666666666666
95,nonDEN_Liver_WD,Omega-6 fatty acid metabolism,0.16410699108612462,0.5
96,nonDEN_Liver_WD,Folate metabolism,0.3044875098632381,1.0
97,nonDEN_Liver_WD,Sphingolipid metabolism,0.3044875098632381,1.0
98,nonDEN_Liver_WD,Oxidative phosphorylation,0.3270413504401233,0.6
99,nonDEN_Liver_WD,Arginine and proline metabolism,0.030510129126002046,0.3333333333333333
100,nonDEN_Liver_WD,Pool reactions,0.399785127454056,0.75
101,nonDEN_Liver_WD,Cholesterol metabolism,0.44533887496997604,0.6666666666666666
102,nonDEN_Liver_WD,ROS detoxification,0.29100005875907964,0.5
103,nonDEN_Liver_WD,Sulfur metabolism,0.4529338015196688,1.0
104,nonDEN_Liver_WD,Propanoate metabolism,0.44533887496997604,0.6666666666666666
105,nonDEN_Liver_WD,Inositol phosphate metabolism,0.29100005875907964,0.5
106,nonDEN_Liver_WD,Acylglycerides metabolism,0.4529338015196688,1.0
107,nonDEN_Liver_WD,Glycerolipid metabolism,0.4529338015196688,1.0
108,nonDEN_Liver_WD,Fructose and Mannose metabolism,0.4529338015196688,1.0
109,nonDEN_Liver_WD,Butanoate metabolism,0.6732522796343966,1.0
110,nonDEN_Liver_WD,Tetrahydrobiopterin metabolism,0.6732522796343966,1.0
111,nonDEN_Liver_WD,Carnitine shuttle (peroxisomal),0.03788150957940199,0.2
112,nonDEN_Liver_WD,Biopterin metabolism,0.6732522796343966,1.0
113,nonDEN_Liver_WD,Tyrosine metabolism,0.6732522796343966,1.0
114,nonDEN_Liver_WD,Steroid metabolism,0.6732522796343966,1.0
115,nonDEN_Liver_WD,"Transport, nuclear",0.6732522796343966,1.0
116,DEN_Liver_CD,Exchange reactions,0.00022200341420125768,0.8823529411764706
117,DEN_Liver_CD,"Transport, extracellular",0.007367008637664426,0.547945205479452
118,DEN_Liver_CD,"Transport, lysosomal",3.024367746522682e-05,0.96875
119,DEN_Liver_CD,"Transport, mitochondrial",0.019534301113752667,0.525
120,DEN_Liver_CD,"Valine, leucine, and isoleucine metabolism",0.0020084949724235935,0.9523809523809523
121,DEN_Liver_CD,Beta-oxidation (mitochondrial),0.09632357233793779,0.59375
122,DEN_Liver_CD,Bile acid metabolism,0.18417907356283247,0.65
123,DEN_Liver_CD,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.17663545203641917,0.75
124,DEN_Liver_CD,Omega-3 fatty acid metabolism,0.011559178609652523,1.0
125,DEN_Liver_CD,Carnitine shuttle (mitochondrial),0.1911662146740059,0.625
126,DEN_Liver_CD,Nucleotide metabolism,0.051146246667443246,0.5
127,DEN_Liver_CD,Tryptophan metabolism,0.08782963119344288,0.9
128,DEN_Liver_CD,Starch and sucrose metabolism,0.026188469940322073,1.0
129,DEN_Liver_CD,Glycerophospholipid metabolism,0.13403029534412358,0.5625
130,DEN_Liver_CD,Fatty acid oxidation,0.24060153591062441,0.6666666666666666
131,DEN_Liver_CD,Pyruvate metabolism,0.1980709613811118,0.8
132,DEN_Liver_CD,Glycolysis / Gluconeogenesis,0.008029952599306826,0.4
133,DEN_Liver_CD,Amino sugar and nucleotide sugar metabolism,0.20691732088336326,0.6153846153846154
134,DEN_Liver_CD,Carnitine shuttle (cytosolic),0.24060153591062441,0.6666666666666666
135,DEN_Liver_CD,"Transport, peroxisomal",0.23732172070055757,0.7777777777777778
136,DEN_Liver_CD,Glycosphingolipid metabolism,0.059149820037649785,1.0
137,DEN_Liver_CD,Fatty acid biosynthesis,0.158214480467084,0.875
138,DEN_Liver_CD,"Phenylalanine, tyrosine and tryptophan metabolism",0.158214480467084,0.875
139,DEN_Liver_CD,Pyrimidine catabolism,0.13541378186252795,0.5384615384615384
140,DEN_Liver_CD,"Transport, endoplasmic reticular",0.16496305629603603,0.5454545454545454
141,DEN_Liver_CD,Pentose phosphate pathway,0.0660025984821634,0.46153846153846156
142,DEN_Liver_CD,Cysteine and methionine metabolism,0.08879240719607429,1.0
143,DEN_Liver_CD,Lysine metabolism,0.08879240719607429,1.0
144,DEN_Liver_CD,NAD metabolism,0.16496305629603603,0.5454545454545454
145,DEN_Liver_CD,Purine metabolism,0.1339426061082361,0.5
146,DEN_Liver_CD,Artificial reactions,0.26637722158829796,0.8333333333333334
147,DEN_Liver_CD,"Alanine, aspartate and glutamate metabolism",0.30982594523170554,0.7142857142857143
148,DEN_Liver_CD,Fatty acid desaturation,0.30982594523170554,0.7142857142857143
149,DEN_Liver_CD,Miscellaneous,0.1339426061082361,0.5
150,DEN_Liver_CD,Histidine metabolism,0.19963122073485845,1.0
151,DEN_Liver_CD,"Glycine, serine, alanine, and threonine metabolism",0.2552476466031484,0.5714285714285714
152,DEN_Liver_CD,Galactose metabolism,0.33221304970295507,0.8
153,DEN_Liver_CD,Omega-6 fatty acid metabolism,0.16834653943894407,0.5
154,DEN_Liver_CD,Folate metabolism,0.3974476121903119,0.75
155,DEN_Liver_CD,Sphingolipid metabolism,0.29899312378225207,1.0
156,DEN_Liver_CD,Oxidative phosphorylation,0.32919293106917324,0.6
157,DEN_Liver_CD,Arginine and proline metabolism,0.03230035145781923,0.3333333333333333
158,DEN_Liver_CD,Pool reactions,0.3974476121903119,0.75
159,DEN_Liver_CD,Cholesterol metabolism,0.44747270225900004,1.0
160,DEN_Liver_CD,ROS detoxification,0.16198382322452967,0.4
161,DEN_Liver_CD,Sulfur metabolism,0.44747270225900004,1.0
162,DEN_Liver_CD,Propanoate metabolism,0.4454387354309068,0.6666666666666666
163,DEN_Liver_CD,Inositol phosphate metabolism,0.294706052576517,0.5
164,DEN_Liver_CD,Acylglycerides metabolism,0.4454387354309068,0.6666666666666666
165,DEN_Liver_CD,Glycerolipid metabolism,0.44747270225900004,1.0
166,DEN_Liver_CD,Fructose and Mannose metabolism,0.44747270225900004,1.0
167,DEN_Liver_CD,Butanoate metabolism,0.6691842900300486,1.0
168,DEN_Liver_CD,Tetrahydrobiopterin metabolism,0.6691842900300486,1.0
169,DEN_Liver_CD,Carnitine shuttle (peroxisomal),0.2196960278821556,0.3333333333333333
170,DEN_Liver_CD,Biopterin metabolism,0.6691842900300486,1.0
171,DEN_Liver_CD,Tyrosine metabolism,0.6691842900300486,1.0
172,DEN_Liver_CD,Steroid metabolism,0.6691842900300486,1.0
173,DEN_Liver_CD,"Transport, nuclear",0.6691842900300486,1.0
174,DEN_AdjLiver_WD,Exchange reactions,0.0001800298951759613,0.8823529411764706
175,DEN_AdjLiver_WD,"Transport, extracellular",0.00018086002329668216,0.4878048780487805
176,DEN_AdjLiver_WD,"Transport, lysosomal",2.5278847460348025e-05,0.96875
