rxn	LB	UB
NDP7g	0	3.63758615973
HMR_7358	0	3.79548918917
P5CR	0	2.91777073208
r1642	-1.0	1.0
r1643	-1.0	1.0
r1640	-1.0	1.0
r1641	-1.0	1.0
r1646	-1.0	1.0
r1647	-1.0	1.0
r1644	-1.0	1.0
r1645	-1.0	1.0
HMR_4141	-4.98132090643	4.98132090643
HMR_4143	0	4.99495748138
r1649	-1.0	1.0
HMR_4145	-3.79173683955	3.79173683955
HMR_4147	-6.11294444465	6.11294444465
METt4	0	6.13375951056
RE3167R	-3.91866754815	3.91866754815
HMR_8325	0	1.38629436112
CYOOm3i	0	1000
PYAM5POr	0	4.24849524205
HMR_5094	0	6.28971557091
HMR_5096	0	1000
ADRNCPT2	-4.42284862919	4.42284862919
HMR_4852	-3.81035935165	3.81035935165
HMR_4851	-4.28588277412	4.28588277412
HMR_4326	0	4.4148164575
HMR_4856	-5.55618435392	5.55618435392
HMR_4323	0	4.54683460898
HMR_4854	-4.28588277412	4.28588277412
M13N2Tg	0	3.73766961828
FAOXC163GC142m	0	1000
5FTHFt2	-1.09861228867	1.09861228867
HMR_3498	0	6.6118169954
PRO1xm	0	3.30199073158
HMR_3491	-3.64196253433	3.64196253433
RE3010C	-5.55747135539	5.55747135539
RE3010M	-1000	1000
HMR_5633	0	2.56494935746
DCSPTN1COAtxc	0	4.0223710626
RE3010X	-1000	1000
FAOXC182806m	0	5.86929691313
PHYHx	0	6.859090107
FPGS2m	0	3.66356164613
HMR_3678	0	3.52636052462
HMR_3679	0	3.52636052462
HMR_3676	0	3.52636052462
HMR_3677	0	3.52636052462
C160CPT1	-5.44169594939	5.44169594939
HMR_3675	0	3.52636052462
HMR_3672	0	3.52636052462
HMR_3673	0	3.52636052462
HMR_3670	0	3.52636052462
HMR_3671	0	3.52636052462
FAOXC164m	0	4.44461012098
RE3310R	-9.29488064274	9.29488064274
TTDCRNt	-4.2341065046	4.2341065046
HMR_4149	0	4.77350550081
GCALDDm	0	7.73528765424
FERO	0	1.54044504095
TETTET6CPT1	-5.44169594939	5.44169594939
r0413	0	5.047716969
r1648	-1.0	1.0
RE2913M	-7.13926374663	7.13926374663
HMR_7559	0	5.00952356524
HMR_7558	0	2.75153531304
HMR_7557	0	1000
HMR_7556	0	1000
HMR_7001	0	6.04815989078
HMR_6972	0	4.10539439841
HMR_6971	0	4.10539439841
HMR_5416	0	5.39589769489
HMR_1526	0	5.58412267899
HMR_6756	-7.63498177319	7.63498177319
HMR_6754	-1.73460105539	1.73460105539
HMR_6752	0	4.69592454926
HMR_6753	0	1.73460105539
HMR_6751	0	4.69592454926
STRDNCCPT2	-4.42284862919	4.42284862919
HMR_5956	0	3.09858965899
CAATPS	0	2.86220088093
HMR_2699	-5.44169594939	5.44169594939
HMR_2693	-5.44169594939	5.44169594939
HMR_2692	-4.42284862919	4.42284862919
HMR_2691	-5.4757659586	5.4757659586
HMR_2690	-5.44169594939	5.44169594939
HMR_2697	-4.42284862919	4.42284862919
HMR_2695	-5.4757659586	5.4757659586
HMR_0691	0	1000
HMR_5401	0	5.28658211033
HMR_0692	-1000	1000
HMR_5407	0	6.58502156847
HMR_5406	0	6.58502156847
ADNt	-4.03718614838	4.03718614838
HMR_9517	0	4.39238942171
HMR_9516	0	2.30258509299
HMR_8174	0	0.666666666667
HMR_8175	0	3.21887582487
HMR_8176	0	0.666666666667
HMR_8177	0	0.666666666667
HMR_8170	0	0.666666666667
HMR_8172	0	0.666666666667
HMR_8173	0	0.847297860387
HMR_8178	0	3.21887582487
HMR_0347	0	4.10264336504
HMR_0346	0	4.99043258678
HMR_0345	-7.30887763766	7.30887763766
HMR_0344	0	8.87993635309
HMR_0343	0	4.10264336504
HMR_0342	0	4.99043258678
HMR_0340	0	8.87993635309
FPGS3m	0	3.66356164613
r1181	0	4.95465265935
r1183	0	4.95465265935
r1182	0	4.95465265935
r1186	0	4.17181987439
GTHS	0	4.4148164575
r1453	-3.30199073158	3.30199073158
r1451	0	6.59532503684
r1450	0	6.59532503684
HMR_6406	0	2.1202635362
HMR_8106	0	3.66356164613
34DHXMANDACOX_NADP_	-1.67397643357	1.67397643357
HMR_3809	-5.13383572788	5.13383572788
34DHXMANDACOX	0	5.46171091346
r0587	-3.02852209638	3.02852209638
