rxn	LB	UB
HMR_1082	0	1.0
HMR_1085	0	0.333333333333
HMR_1084	0	2.63905732962
HMR_0224	0	3.82136863716
NDP7g	0	3.06027079469
HMR_5307	0	6.23375691726
HMR_5301	0	3.72970144863
HMR_0223	0	5.50803789753
HMR_2518	0	5.20948615284
r1448	0	6.98533341363
HMR_1311	-1000	1000
HMR_1642	0	5.32300997914
HMR_2651	-5.16858825987	5.16858825987
HMR_1646	0	5.85698031973
HMR_2510	0	6.99454440905
HMR_2511	0	4.97443224543
HMR_2840	-3.17805383035	3.17805383035
HMR_2514	-1000	1000
HMR_2515	0	6.67287647145
HMR_2516	0	4.96051090691
HMR_2688	-5.70821707172	5.70821707172
HMR_2689	-4.70953020131	4.70953020131
HMR_8437	0	5.30164515664
HMR_8920	0	1000
3DHCDCHOLt	-6.15131324805	6.15131324805
KYN	0	4.66657881412
HMR_8925	0	0.980829253012
HMR_2680	-4.70953020131	4.70953020131
HMR_2681	-5.16858825987	5.16858825987
HMR_2682	-5.70821707172	5.70821707172
HMR_2683	-4.70953020131	4.70953020131
PHYHx	0	7.07890353518
FPGS2m	0	4.26736372635
HMR_2686	-4.70953020131	4.70953020131
HMR_2687	-5.16858825987	5.16858825987
P5CR	0	3.02852209638
AG13T9g	0	0.287682072452
HMR_5305	0	6.62051755224
HMR_1797	0	8.11850506759
HMR_1796	0	5.45674460314
PETHCT	0	5.22574667371
GALK	0	3.12089541651
HMR_7848	0	2.73002910782
HMR_1792	0	5.45674460314
HMR_1790	0	5.45674460314
HMR_4149	0	4.08317126162
r1643	-1.0	1.0
r1640	-1.0	1.0
r1641	-1.0	1.0
r1646	-1.0	1.0
r1647	-1.0	1.0
r1644	-1.0	1.0
r1645	-1.0	1.0
HMR_4141	-4.7621739348	4.7621739348
r1648	-1.0	1.0
r1649	-1.0	1.0
HMR_4145	-3.72970144863	3.72970144863
r1684	0	1.0
HMR_4147	-5.84643877506	5.84643877506
SELCYSTGL	0	5.27128869416
LEUtec	-5.15136295359	5.15136295359
HMR_5411	-3.13549421593	3.13549421593
HMR_5413	0	3.86423234159
HMR_5415	0	5.29330482472
HMR_0688	-1000	1000
METt4	0	6.47131536657
HMR_5418	-3.2708355638	3.2708355638
