rxn	LB	UB
RE3381C	-0.223143551314	0.223143551314
NDP7g	0	3.295836866
HMR_7358	0	3.47351804324
P5CR	0	2.83321334406
r1642	-1.0	1.0
r1643	-1.0	1.0
r1640	-1.0	1.0
r1641	-1.0	1.0
r1646	-1.0	1.0
r1647	-1.0	1.0
r1644	-1.0	1.0
r1645	-1.0	1.0
HMR_4141	-4.86945568063	4.86945568063
HMR_4143	0	5.08140436498
r1649	-1.0	1.0
HMR_4145	-4.06474409245	4.06474409245
HMR_4147	-6.2060717674	6.2060717674
METt4	0	6.56877991214
RE3167R	-3.34109345759	3.34109345759
HMR_8322	0	0.5
HMR_8325	0	1.01160091168
HMR_8326	0	0.5
CYOOm3i	0	1000
PYAM5POr	0	4.28702890605
HMR_5094	0	6.68367378794
HMR_5096	0	1000
ADRNCPT2	-4.74057482299	4.74057482299
HMR_4852	-3.61091791264	3.61091791264
HMR_4851	-4.61512051684	4.61512051684
HMR_4326	0	3.65065824129
HMR_4856	-5.1164956848	5.1164956848
HMR_4323	0	5.17048399504
HMR_4854	-4.61512051684	4.61512051684
M13N2Tg	0	3.30505352111
FAOXC163GC142m	0	1000
5FTHFt2	-1.01160091168	1.01160091168
HMR_3498	0	7.15637162627
PRO1xm	0	4.18585967106
HMR_3491	-4.06474409245	4.06474409245
RE3010C	-3.6571307558	3.6571307558
RE3010M	-1000	1000
HMR_5633	0	1.44691898294
DCSPTN1COAtxc	0	2.78809290878
RE3010X	-1000	1000
FAOXC182806m	0	6.11202150965
PHYHx	0	7.35212053605
FPGS2m	0	4.14709512761
HMR_3678	0	2.74084002393
HMR_3679	0	2.74084002393
HMR_3676	0	2.74084002393
HMR_3677	0	2.74084002393
C160CPT1	-5.36830973837	5.36830973837
HMR_3675	0	2.74084002393
HMR_3672	0	2.74084002393
HMR_3673	0	2.74084002393
HMR_3670	0	2.74084002393
HMR_3671	0	2.74084002393
FAOXC164m	0	4.84221664247
RE3310R	-9.66299118319	9.66299118319
TTDCRNt	-4.41279829334	4.41279829334
HMR_4149	0	4.0027773687
GCALDDm	0	8.12207437536
FERO	0	0.75
TETTET6CPT1	-5.36830973837	5.36830973837
r0413	0	4.94520748877
r1648	-1.0	1.0
RE2913M	-7.58184705301	7.58184705301
HMR_7559	0	4.53528405852
HMR_7558	0	2.69124308279
HMR_7557	0	1000
HMR_7556	0	1000
HMR_7001	0	7.38817324033
HMR_6972	0	4.33401741549
HMR_6971	0	4.33401741549
HMR_5416	0	5.37643514581
HMR_1526	0	5.12841832975
HMR_6756	-7.53382739075	7.53382739075
HMR_6754	-0.223143551314	0.223143551314
HMR_6752	0	4.74927052996
HMR_6753	0	0.223143551314
HMR_6751	0	4.74927052996
STRDNCCPT2	-4.74057482299	4.74057482299
HMR_5956	0	3.61091791264
CAATPS	0	2.44234703537
HMR_2699	-5.36830973837	5.36830973837
HMR_2693	-5.36830973837	5.36830973837
HMR_2692	-4.74057482299	4.74057482299
HMR_2691	-6.04144447941	6.04144447941
HMR_2690	-5.36830973837	5.36830973837
HMR_2697	-4.74057482299	4.74057482299
HMR_2695	-6.04144447941	6.04144447941
HMR_0691	0	1000
HMR_5401	0	5.41498867335
HMR_0692	-1000	1000
HMR_5407	0	7.73466819971
HMR_5406	0	7.73466819971
ADNt	-4.35349855106	4.35349855106
HMR_9517	0	4.66107781793
HMR_9516	0	2.42036812865
HMR_8174	0	0.75
HMR_8175	0	3.17805383035
HMR_8176	0	0.75
HMR_8177	0	0.75
HMR_8170	0	0.75
HMR_8172	0	0.75
HMR_8173	0	0.405465108108
HMR_8178	0	3.17805383035
HMR_8179	0	0.25
HMR_0347	0	3.7135720667
HMR_0346	0	5.44025086244
HMR_0345	-7.44468714983	7.44468714983
HMR_0344	0	9.39095213457
HMR_0343	0	3.7135720667
HMR_0342	0	5.44025086244
HMR_0340	0	9.39095213457
FPGS3m	0	4.14709512761
r1181	0	4.75574304447
r1183	0	4.75574304447
r1182	0	4.75574304447
r1186	0	4.45725005591
GTHS	0	3.65065824129
r1453	-4.18585967106	4.18585967106
r1451	0	7.145196135
r1450	0	7.145196135
HMR_6406	0	2.22462355152
HMR_8106	0	4.14709512761
34DHXMANDACOX_NADP_	-1.0	1.0
HMR_3809	-5.64367855059	5.64367855059
34DHXMANDACOX	0	6.16751649089
r0587	-2.27726728501	2.27726728501
r0584	-4.62005879848	4.62005879848
HMR_4324	0	5.52046041753
HMR_3802	-6.16594292644	6.16594292644
UCHOLt2	0	6.1114673395
HMR_3804	-6.16594292644	6.16594292644
HMR_3806	0	4.90712491773
HMR_0837	0	4.0027773687
HMR_6401	0	0.810930216216
HMR_4468	-1000	1000
HMR_4855	-3.61091791264	3.61091791264
HMR_4460	-2.69124308279	2.69124308279
HMR_4461	-5.31566600488	5.31566600488
HMR_4467	0	4.56954300834
HMR_4464	0	1000
2HCO3_NAt	-3.21887582487	3.21887582487
FAOXC225C204m	0	1000
GLUt6	0	4.42783617071
RE0568C	-1000	1000
RE3090X	-1000	1000
NDP3ex	0	3.95124371858
S4TASE5ly	-2.69124308279	2.69124308279
4NPHSULT	0	5.92692602597
HMR_3118	0	6.93561360711
HMR_3113	0	6.52282782209
HMR_3112	0	5.98707994879
HMR_3111	0	6.63134279879
HMR_3110	0	6.93561360711
HMR_3117	0	6.52282782209
HMR_3116	0	5.98707994879
HMR_3115	0	6.63134279879
HMR_3114	0	6.93561360711
HMR_2194	0	4.82229566498
CLPNDCRNt	-4.41279829334	4.41279829334
HMR_7964	0	4.54595082633
HMR_7965	0	6.27852142417
HMR_2190	0	6.73399695285
HMR_2191	0	5.11198778836
HMR_2193	0	5.24965219457
HMR_7968	0	6.39233578621
HMR_6569	0	1.83258146375
RE3147R	-3.34109345759	3.34109345759
HMR_6561	0	1.83258146375
HMR_6560	0	2.67414864943
HMR_6563	0	1.50407739678
HMR_6562	0	4.20841701848
HMR_6565	0	2.80336038091
HMR_6564	0	2.8903717579
HMR_6566	0	2.07944154168
FAOXTC101TC102m	0	5.91147392141
HMR_7611	0	4.97500811645
HMR_7612	0	1.38629436112
HMR_7613	0	1.17865499634
HMR_7614	0	4.10264336504
HMR_7615	0	4.37260741276
FAOXC226m	0	4.84221664247
r2166	0	5.66296048014
r2167	0	5.66296048014
r2164	0	5.66296048014
r2165	0	5.66296048014
r2162	0	5.66296048014
r2163	0	5.66296048014
r2160	0	5.66296048014
r2161	0	5.66296048014
r2168	0	5.66296048014
r2169	0	5.66296048014
ICDCHOLabc	0	6.2887874966
HMR_5130	0	3.15700042115
FAOXC140	0	6.11202150965
r1668	-1.0	1.0
r1669	-1.0	1.0
HMR_4127	0	3.9796816539
r1661	-1.0	1.0
r1662	-1.0	1.0
r1664	-1.0	1.0
HMR_4122	0	4.64198415911
HMR_4121	0	6.7211244506
r1667	-1.0	1.0
NEU22	0	0.405465108108
NEU21	0	0.405465108108
NEU24	0	0.405465108108
RE3169R	-3.34109345759	3.34109345759
HMR_8341	0	6.00326959256
HMR_8340	-1000	1000
HMR_0592	0	5.65948221576
HMR_0593	0	5.65948221576
HMR_0590	0	5.65948221576
HMR_0591	0	5.65948221576
HMR_0596	0	5.65336598874
HMR_0597	0	5.65336598874
HMR_0598	0	5.65336598874
HMR_0599	0	5.65336598874
HMR_4695	-2.8903717579	2.8903717579
HMR_4694	0	0.559615787935
HMR_4873	-1.2527629685	1.2527629685
HMR_4872	-4.61512051684	4.61512051684
HMR_4878	-1000	1000
HMR_3493	-6.96578831023	6.96578831023
biomass_maintenance	0	1000
CTPS2	0	2.77258872224
CTPS1	0	2.77258872224
RE3560X	-1000	1000
HMR_3470	0	7.15637162627
r0139	-3.74950407593	3.74950407593
HMR_3475	0	2.3978952728
ORNLEUrBATtc	0	3.61091791264
HMR_3478	0	1000
r0130	-2.7080502011	2.7080502011
RE3012M	-7.99269113683	7.99269113683
HMR_5618	0	0.916290731874
ACACt2	-4.11087386417	4.11087386417
HMR_5614	0	1.44691898294
HMR_5615	0	1.0
HMR_5612	0	0.916290731874
RE3012C	-6.37374631976	6.37374631976
HMR_5610	0	1.0
HMR_5611	0	1.0
C140CPT1	-5.36830973837	5.36830973837
RE3012R	-6.16541785423	6.16541785423
HOMOVALte	-1.0	1.0
S6TASE1ly	-3.99820070167	3.99820070167
ACRNtm	-4.41279829334	4.41279829334
ASCBSVCTtc	0	3.60413822566
HMR_7872	-4.24849524205	4.24849524205
HMR_3409	0	7.83221257352
TMNDNCCRNt	-4.41279829334	4.41279829334
HMR_1969	0	0.5
HMR_1960	0	1.94591014906
NAGAly	0	2.3978952728
r2379	-4.79785452982	4.79785452982
r2378	-4.79785452982	4.79785452982
r2373	-4.79785452982	4.79785452982
r2370	0	3.60413822566
r2377	-4.79785452982	4.79785452982
r2376	-4.79785452982	4.79785452982
