rxn	LB	UB
HMR_0154	0	262.0
HMR_0189	0	253.375
HMR_0193	0	253.375
HMR_0197	0	253.375
HMR_0201	0	253.375
HMR_0206	0	253.375
HMR_0210	0	253.375
HMR_0214	0	253.375
HMR_0223	0	253.375
HMR_0230	0	253.375
HMR_0234	0	253.375
HMR_0242	0	253.375
HMR_0246	0	253.375
HMR_0250	0	253.375
HMR_0256	0	253.375
HMR_0260	0	253.375
HMR_0264	0	253.375
HMR_0268	0	253.375
HMR_0272	0	253.375
HMR_0276	0	253.375
HMR_0280	0	253.375
HMR_0284	0	253.375
HMR_0290	0	253.375
HMR_0294	0	253.375
HMR_0298	0	253.375
HMR_0302	0	253.375
HMR_0306	0	253.375
HMR_0310	0	253.375
HMR_0314	0	253.375
HMR_0320	0	253.375
HMR_0324	0	253.375
HMR_0328	0	253.375
HMR_0332	0	253.375
HMR_0338	0	253.375
HMR_0342	0	253.375
HMR_0346	0	253.375
HMR_0350	0	253.375
HMR_0354	0	253.375
HMR_0358	0	253.375
HMR_0362	0	253.375
HMR_0366	0	253.375
HMR_0370	0	253.375
HMR_0374	0	253.375
HMR_0378	0	253.375
HMR_0382	0	253.375
HMR_0386	0	253.375
HMR_0390	0	253.375
HMR_0394	0	253.375
HMR_0398	0	253.375
HMR_0402	0	253.375
HMR_0406	0	253.375
HMR_0410	0	253.375
HMR_0414	0	253.375
HMR_0418	0	253.375
HMR_0422	0	253.375
HMR_0426	0	253.375
HMR_0430	0	253.375
HMR_0434	0	253.375
HMR_0438	0	253.375
HMR_3009	0	253.375
HMR_3475	0	10
HMR_3477	0	1000
HMR_0001	0	280.75
HMR_0002	0	33.375
HMR_0003	0	1115.375
HMR_0005	0	119.25
HMR_0604	0	38.875
HMR_0605	0	238.0
HMR_0665	0	1115.375
HMR_0667	0	1115.375
HMR_0668	0	1115.375
HMR_0669	0	1115.375
HMR_0670	0	1115.375
HMR_0671	0	1115.375
HMR_0672	0	1115.375
HMR_0679	0	119.25
HMR_0680	0	119.25
HMR_0681	0	119.25
HMR_0682	0	119.25
HMR_0683	0	119.25
HMR_7588	0	24.125
AGTix	0	78.625
ARGSS	0	1243.375
ASPTAm	-236.75	236.75
NACASPAH	0	60.75
RE2031M	-21	21
ALAR	-59.5	59.5
ASPTA	-113.375	113.375
r0127	0	47
ARGSL	-329.5	329.5
HMR_9897	0	4.75
HMR_9899	0	4.75
HMR_3802	-559.625	559.625
HMR_3804	-559.625	559.625
HMR_3811	0	1243.375
HMR_3831	0	147.5
HMR_3862	0	55
HMR_3865	0	236.75
HMR_3873	0	755.875
HMR_8654	0	755.875
HMR_3890	0	866.75
HMR_3892	0	10.5
HMR_9802	0	126
HMR_3899	-113.5	113.5
HMR_3903	0	3.875
HMR_4109	-188.125	188.125
HMR_4114	0	109.375
HMR_4115	0	109.375
HMR_4172	0	55
HMR_4196	0	47.125
HMR_4197	0	47.125
HMR_4285	0	18.5
HMR_6968	-21	21
HMR_9868	0	316.375
HMR_6971	0	65.0
HMR_9867	0	316.375
HMR_6972	0	65.0
HMR_7641	0	8.375
HMR_8626	0	1000
HMR_9895	0	2.625
HMR_3986	0	1000
HMR_3988	0	70.0
HMR_4158	0	35.125
HMR_4299	0	22.125
HMR_4494	0	79.125
HMR_4524	0	18.25
HMR_4525	0	118.625
HMR_4526	0	118.625
HMR_4528	0	118.625
HMR_4529	0	14.125
HMR_4530	0	0.875
HMR_4536	0	40.875
HMR_4628	0	70.75
HMR_4629	0	13.5
HMR_8371	0	14.125
HMR_8375	0	2.125
HMR_8377	0	40.875
ACGAM6PSi	0	70.75
ACGAMK	0	18.25
ACGAMPM	-18.75	18.75
HEX10	0	70.875
GF6PTA	0	12.125
UAG4E	-10.5	10.5
UAGDP	0	35.125
AMANK	0	18.25
G6PDA	0	22.125
ACGAM2E	-6.375	6.375
HMR_5130	0	24.125
HMR_5131	0	54.0
HMR_5132	0	38.125
HMR_5133	0	73.125
HMR_5134	0	83.625
HMR_5135	0	24.5
HMR_5136	0	35.125
HMR_5137	0	51.125
HMR_5138	0	23.625
HMR_5139	0	29.0
HMR_5140	0	39.875
HMR_5141	0	533.25
HMR_5142	0	36.625
HMR_5143	0	29
HMR_5145	0	49.75
HMR_5146	0	49.5
HMR_5147	0	51.25
HMR_5148	0	68.875
HMR_5149	0	11.75
HMR_5150	0	18.25
HMR_1944	0	13.25
HMR_1945	0	13.25
HMR_1958	0	13.25
HMR_1959	0	13.25
HMR_1960	0	13.25
HMR_1969	0	1.875
HMR_1973	0	728.0
HMR_1974	0	728.0
