rxn	LB	UB
HMR_0154	0	161.5
HMR_0189	0	147.0
HMR_0193	0	147.0
HMR_0197	0	147.0
HMR_0201	0	147.0
HMR_0206	0	147.0
HMR_0210	0	147.0
HMR_0214	0	147.0
HMR_0223	0	147.0
HMR_0230	0	147.0
HMR_0234	0	147.0
HMR_0242	0	147.0
HMR_0246	0	147.0
HMR_0250	0	147.0
HMR_0256	0	147.0
HMR_0260	0	147.0
HMR_0264	0	147.0
HMR_0268	0	147.0
HMR_0272	0	147.0
HMR_0276	0	147.0
HMR_0280	0	147.0
HMR_0284	0	147.0
HMR_0290	0	147.0
HMR_0294	0	147.0
HMR_0298	0	147.0
HMR_0302	0	147.0
HMR_0306	0	147.0
HMR_0310	0	147.0
HMR_0314	0	147.0
HMR_0320	0	147.0
HMR_0324	0	147.0
HMR_0328	0	147.0
HMR_0332	0	147.0
HMR_0338	0	147.0
HMR_0342	0	147.0
HMR_0346	0	147.0
HMR_0350	0	147.0
HMR_0354	0	147.0
HMR_0358	0	147.0
HMR_0362	0	147.0
HMR_0366	0	147.0
HMR_0370	0	147.0
HMR_0374	0	147.0
HMR_0378	0	147.0
HMR_0382	0	147.0
HMR_0386	0	147.0
HMR_0390	0	147.0
HMR_0394	0	147.0
HMR_0398	0	147.0
HMR_0402	0	147.0
HMR_0406	0	147.0
HMR_0410	0	147.0
HMR_0414	0	147.0
HMR_0418	0	147.0
HMR_0422	0	147.0
HMR_0426	0	147.0
HMR_0430	0	147.0
HMR_0434	0	147.0
HMR_0438	0	147.0
HMR_3009	0	147.0
HMR_3475	0	8.5
HMR_3477	0	1000
HMR_0001	0	299.0
HMR_0002	0	75.5
HMR_0003	0	690.1666666666666
HMR_0005	0	80.83333333333333
HMR_0604	0	48.99999999999999
HMR_0605	0	223.5
HMR_0665	0	690.1666666666666
HMR_0667	0	690.1666666666666
HMR_0668	0	690.1666666666666
HMR_0669	0	690.1666666666666
HMR_0670	0	690.1666666666666
HMR_0671	0	690.1666666666666
HMR_0672	0	690.1666666666666
HMR_0679	0	80.83333333333333
HMR_0680	0	80.83333333333333
HMR_0681	0	80.83333333333333
HMR_0682	0	80.83333333333333
HMR_0683	0	80.83333333333333
HMR_7588	0	25.833333333333332
AGTix	0	82.16666666666667
ARGSS	0	712.8333333333334
ASPTAm	-206.33333333333334	206.33333333333334
NACASPAH	0	68.0
RE2031M	-19.166666666666668	19.166666666666668
ALAR	-47.166666666666664	47.166666666666664
ASPTA	-72.5	72.5
r0127	0	45.666666666666664
ARGSL	-195.33333333333334	195.33333333333334
HMR_9897	0	4.833333333333334
HMR_9899	0	4.833333333333334
HMR_3802	-843	843
HMR_3804	-843	843
HMR_3811	0	712.8333333333334
HMR_3831	0	122
HMR_3862	0	54.5
HMR_3865	0	206.33333333333334
HMR_3873	0	485.8333333333333
HMR_8654	0	485.8333333333333
HMR_3890	0	367.6666666666667
HMR_3892	0	15.5
HMR_9802	0	116.33333333333333
HMR_3899	-113.66666666666667	113.66666666666667
HMR_3903	0	10.833333333333334
HMR_4109	-226.33333333333334	226.33333333333334
HMR_4114	0	104.33333333333333
HMR_4115	0	104.33333333333333
HMR_4172	0	54.5
HMR_4196	0	90.16666666666667
HMR_4197	0	90.16666666666667
HMR_4285	0	14
HMR_6968	-19.166666666666668	19.166666666666668
HMR_9868	0	480.66666666666663
HMR_6971	0	60.666666666666664
HMR_9867	0	480.66666666666663
HMR_6972	0	60.666666666666664
HMR_7641	0	9
HMR_8626	0	1000
HMR_9895	0	2.8333333333333335
HMR_3986	0	1000
HMR_3988	0	100.33333333333333
HMR_4158	0	55.16666666666667
HMR_4299	0	18.333333333333332
HMR_4494	0	57.666666666666664
HMR_4524	0	24.333333333333332
HMR_4525	0	89.16666666666667
HMR_4526	0	89.16666666666667
HMR_4528	0	89.16666666666667
HMR_4529	0	22.666666666666668
HMR_4530	0	0.6666666666666666
HMR_4536	0	47
HMR_4628	0	90.5
HMR_4629	0	22
HMR_8371	0	22.666666666666668
HMR_8375	0	4.666666666666666
HMR_8377	0	47
