rxn	LB	UB
HMR_0154	0	250.0
HMR_0189	0	246.66666666666666
HMR_0193	0	246.66666666666666
HMR_0197	0	246.66666666666666
HMR_0201	0	246.66666666666666
HMR_0206	0	246.66666666666666
HMR_0210	0	246.66666666666666
HMR_0214	0	246.66666666666666
HMR_0223	0	246.66666666666666
HMR_0230	0	246.66666666666666
HMR_0234	0	246.66666666666666
HMR_0242	0	246.66666666666666
HMR_0246	0	246.66666666666666
HMR_0250	0	246.66666666666666
HMR_0256	0	246.66666666666666
HMR_0260	0	246.66666666666666
HMR_0264	0	246.66666666666666
HMR_0268	0	246.66666666666666
HMR_0272	0	246.66666666666666
HMR_0276	0	246.66666666666666
HMR_0280	0	246.66666666666666
HMR_0284	0	246.66666666666666
HMR_0290	0	246.66666666666666
HMR_0294	0	246.66666666666666
HMR_0298	0	246.66666666666666
HMR_0302	0	246.66666666666666
HMR_0306	0	246.66666666666666
HMR_0310	0	246.66666666666666
HMR_0314	0	246.66666666666666
HMR_0320	0	246.66666666666666
HMR_0324	0	246.66666666666666
HMR_0328	0	246.66666666666666
HMR_0332	0	246.66666666666666
HMR_0338	0	246.66666666666666
HMR_0342	0	246.66666666666666
HMR_0346	0	246.66666666666666
HMR_0350	0	246.66666666666666
HMR_0354	0	246.66666666666666
HMR_0358	0	246.66666666666666
HMR_0362	0	246.66666666666666
HMR_0366	0	246.66666666666666
HMR_0370	0	246.66666666666666
HMR_0374	0	246.66666666666666
HMR_0378	0	246.66666666666666
HMR_0382	0	246.66666666666666
HMR_0386	0	246.66666666666666
HMR_0390	0	246.66666666666666
HMR_0394	0	246.66666666666666
HMR_0398	0	246.66666666666666
HMR_0402	0	246.66666666666666
HMR_0406	0	246.66666666666666
HMR_0410	0	246.66666666666666
HMR_0414	0	246.66666666666666
HMR_0418	0	246.66666666666666
HMR_0422	0	246.66666666666666
HMR_0426	0	246.66666666666666
HMR_0430	0	246.66666666666666
HMR_0434	0	246.66666666666666
HMR_0438	0	246.66666666666666
HMR_3009	0	246.66666666666666
HMR_3475	0	11
HMR_3477	0	1000
HMR_0001	0	215.66666666666666
HMR_0002	0	6.333333333333333
HMR_0003	0	800.6666666666666
HMR_0005	0	87.66666666666666
HMR_0604	0	25.0
HMR_0605	0	149.0
HMR_0665	0	800.6666666666666
HMR_0667	0	800.6666666666666
HMR_0668	0	800.6666666666666
HMR_0669	0	800.6666666666666
HMR_0670	0	800.6666666666666
HMR_0671	0	800.6666666666666
HMR_0672	0	800.6666666666666
HMR_0679	0	87.66666666666666
HMR_0680	0	87.66666666666666
HMR_0681	0	87.66666666666666
