rxn	LB	UB
HMR_0154	0	235.25
HMR_0189	0	230.5
HMR_0193	0	230.5
HMR_0197	0	230.5
HMR_0201	0	230.5
HMR_0206	0	230.5
HMR_0210	0	230.5
HMR_0214	0	230.5
HMR_0223	0	230.5
HMR_0230	0	230.5
HMR_0234	0	230.5
HMR_0242	0	230.5
HMR_0246	0	230.5
HMR_0250	0	230.5
HMR_0256	0	230.5
HMR_0260	0	230.5
HMR_0264	0	230.5
HMR_0268	0	230.5
HMR_0272	0	230.5
HMR_0276	0	230.5
HMR_0280	0	230.5
HMR_0284	0	230.5
HMR_0290	0	230.5
HMR_0294	0	230.5
HMR_0298	0	230.5
HMR_0302	0	230.5
HMR_0306	0	230.5
HMR_0310	0	230.5
HMR_0314	0	230.5
HMR_0320	0	230.5
HMR_0324	0	230.5
HMR_0328	0	230.5
HMR_0332	0	230.5
HMR_0338	0	230.5
HMR_0342	0	230.5
HMR_0346	0	230.5
HMR_0350	0	230.5
HMR_0354	0	230.5
HMR_0358	0	230.5
HMR_0362	0	230.5
HMR_0366	0	230.5
HMR_0370	0	230.5
HMR_0374	0	230.5
HMR_0378	0	230.5
HMR_0382	0	230.5
HMR_0386	0	230.5
HMR_0390	0	230.5
HMR_0394	0	230.5
HMR_0398	0	230.5
HMR_0402	0	230.5
HMR_0406	0	230.5
HMR_0410	0	230.5
HMR_0414	0	230.5
HMR_0418	0	230.5
HMR_0422	0	230.5
HMR_0426	0	230.5
HMR_0430	0	230.5
HMR_0434	0	230.5
HMR_0438	0	230.5
HMR_3009	0	230.5
HMR_3475	0	11
HMR_3477	0	1000
HMR_0001	0	244.5
HMR_0002	0	15.75
HMR_0003	0	875.0
HMR_0005	0	130.0
HMR_0604	0	35.5
HMR_0605	0	219.25
HMR_0665	0	875.0
HMR_0667	0	875.0
HMR_0668	0	875.0
HMR_0669	0	875.0
HMR_0670	0	875.0
HMR_0671	0	875.0
HMR_0672	0	875.0
HMR_0679	0	130.0
HMR_0680	0	130.0
HMR_0681	0	130.0
HMR_0682	0	130.0
HMR_0683	0	130.0
HMR_7588	0	20.75
AGTix	0	96.5
ARGSS	0	1282
ASPTAm	-232.25	232.25
NACASPAH	0	62.25
RE2031M	-22	22
ALAR	-60.5	60.5
ASPTA	-100.25	100.25
r0127	0	40.25
ARGSL	-299.5	299.5
HMR_9897	0	4.0
HMR_9899	0	4.0
HMR_3802	-476.25	476.25
HMR_3804	-476.25	476.25
HMR_3811	0	1282
HMR_3831	0	152
HMR_3862	0	45.75
HMR_3865	0	232.25
HMR_3873	0	813.75
HMR_8654	0	813.75
HMR_3890	0	959.75
HMR_3892	0	6.5
HMR_9802	0	114.5
HMR_3899	-113	113
HMR_3903	0	1.5
HMR_4109	-167.75	167.75
HMR_4114	0	110
HMR_4115	0	110
HMR_4172	0	45.75
HMR_4196	0	42
HMR_4197	0	42
HMR_4285	0	18
HMR_6968	-22	22
HMR_9868	0	249.75
HMR_6971	0	76.25
HMR_9867	0	249.75
HMR_6972	0	76.25
HMR_7641	0	6.75
HMR_8626	0	1000
HMR_9895	0	1.25
HMR_3986	0	1000
HMR_3988	0	45.25
HMR_4158	0	31.0
HMR_4299	0	19.5
HMR_4494	0	89.25
HMR_4524	0	11.75
HMR_4525	0	112.25
HMR_4526	0	112.25
HMR_4528	0	112.25
HMR_4529	0	10.75
HMR_4530	0	0.25
HMR_4536	0	35.25
HMR_4628	0	58.25
HMR_4629	0	9.5
HMR_8371	0	10.75
HMR_8375	0	1.5
HMR_8377	0	35.25
ACGAM6PSi	0	58.25
