rxn,Group,WD,CD
EXC_IN_C00135[s],AA,0.096774194,0.083225806
EXC_IN_C00407[s],AA,0.212977099,0.183206107
EXC_IN_C00123[s],AA,0.384732824,0.332061069
EXC_IN_C00047[s],AA,0.291780822,0.250684932
EXC_IN_C00073[s],AA,0.161073826,0.086577181
EXC_IN_C00079[s],AA,0.169090909,0.145454545
EXC_IN_C00188[s],AA,0.18907563,0.163865546
EXC_IN_C00078[s],AA,0.030882353,0.027941176
EXC_IN_C00183[s],AA,0.284615385,0.246153846
EXC_BOTH_C00041[s],AA,0.182022472,0.15505618
EXC_BOTH_C00062[s],AA,0.117241379,0.1
EXC_BOTH_C00049[s],AA,0.281954887,0.243609023
EXC_BOTH_C00491[s],AA,0.017355372,0.076859504
EXC_BOTH_C00025[s],AA,0.812244898,0.7
EXC_BOTH_C00037[s],AA,0.152,0.128
EXC_BOTH_C00148[s],AA,0.597391304,0.516521739
EXC_BOTH_C00065[s],AA,0.305714286,0.265714286
EXC_BOTH_C00082[s],AA,0.164088398,0.140883978
EXC_BOTH_Cx1323[s],Carbohydrate,0.2969015,2.587562
EXC_BOTH_C00089[s],Carbohydrate,2.984044534,0.95930867
EXC_IN_C01595[s],Lipid,0.114460048,0.047067683
EXC_IN_C06427[s],Lipid,0.010774701,0.00430988
EXC_BOTH_C00187[s],Lipid,0.011622795,0.009830494
EXC_BOTH_C02679[s],Lipid,0.45265573,0.076004229
EXC_BOTH_C06424[s],Lipid,0.397051463,0.066667864
EXC_BOTH_C00249[s],Lipid,0.353605272,0.059372928
EXC_BOTH_C01530[s],Lipid,0.318739454,0.053518701
EXC_BOTH_Cx672[s],Lipid,0.181124956,0.063205063
EXC_BOTH_Cx9[s],Lipid,0.148401018,0.051785772
EXC_BOTH_Cx11[s],Lipid,0.163132368,0.056926399
EXC_BOTH_Cx1261[s],Lipid,0.023647891,0.006897301
EXC_IN_C00301[s],Other,1,1
EXC_BOTH_C00120[s],Other,0.5,0.5
EXC_BOTH_C00016[s],Other,0.5,0.5
EXC_BOTH_C14818[s],Other,0.5,0.5
EXC_BOTH_C14819[s],Other,0.5,0.5
EXC_BOTH_C00001[s],Other,0.5,0.5
EXC_BOTH_C00318[s],Other,0.5,0.5
EXC_BOTH_C00003[s],Other,0.5,0.5
EXC_BOTH_C00006[s],Other,0.5,0.5
EXC_BOTH_C00255[s],Other,0.5,0.5
EXC_BOTH_C00101[s],Other,0.5,0.5
EXC_BOTH_C00214[s],Other,1,1
SINK_BOTH_Cx1003[c],Other,0.5,0.1
EXC_BOTH_m49[l],Other,1,0.5
EXC_IN_LDL,Other,0.5,0.1
