,#,ID,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE
0,,(-)-trans-carveol[c],(-)-trans-carveol,,obo.chebi:CHEBI/15389,C10H16O,,c,MMRNM0002c,1.0
1,,(+)-alpha-pinene[c],(+)-alpha-pinene,,obo.chebi:CHEBI/28261,C10H16,,c,MMRNM0004c,
2,,(+)-alpha-pinene[s],(+)-alpha-pinene,,,C10H16,,s,MMRNM0004s,
3,,(+)-Alpha-Tocopherol[s],(+)-Alpha-Tocopherol,,hmdb/HMDB01893;kegg.compound/C02477;pubchem.compound/14985,,"1S/C29H50O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h20-22,30H,9-19H2,1-8H3/t21-,22-,29-/m1/s1",s,MMRNM0005s,-1.0
4,,(10Z)-heptadecenoic acid[c],(10Z)-heptadecenoic acid,,lipidmaps/LMFA01030283,C17H32O2,,c,MMRNM0006c,-1.0
5,,(10Z)-heptadecenoic acid[r],(10Z)-heptadecenoic acid,,lipidmaps/LMFA01030283,C17H32O2,,r,MMRNM0006r,
6,,(10Z)-heptadecenoic acid[s],(10Z)-heptadecenoic acid,,lipidmaps/LMFA01030283,C17H32O2,,s,MMRNM0006s,
7,,(10Z)-heptadecenoyl-CoA[c],(10Z)-heptadecenoyl-CoA,,,C38H66N7O17P3S,,c,MMRNM0007c,0.0
8,,(10Z)-heptadecenoyl-CoA[m],(10Z)-heptadecenoyl-CoA,,,C38H66N7O17P3S,,m,MMRNM0007m,
9,,(10Z)-heptadecenoyl-CoA[r],(10Z)-heptadecenoyl-CoA,,,C38H66N7O17P3S,,r,MMRNM0007r,
10,,"(11Z,14Z,17Z)-eicosatrienoic acid[c]","(11Z,14Z,17Z)-eicosatrienoic acid",,obo.chebi:CHEBI/53460,C20H34O2,,c,MMRNM0009c,
11,,"(11Z,14Z,17Z)-eicosatrienoic acid[r]","(11Z,14Z,17Z)-eicosatrienoic acid",,obo.chebi:CHEBI/53460,C20H34O2,,r,MMRNM0009r,
12,,"(11Z,14Z,17Z)-eicosatrienoic acid[s]","(11Z,14Z,17Z)-eicosatrienoic acid",,obo.chebi:CHEBI/53460,C20H34O2,,s,MMRNM0009s,
13,,"(11Z,14Z,17Z)-eicosatrienoyl-CoA[c]","(11Z,14Z,17Z)-eicosatrienoyl-CoA",,kegg.compound/C16179,C41H68N7O17P3S,,c,MMRNM0010c,
14,,"(11Z,14Z,17Z)-eicosatrienoyl-CoA[m]","(11Z,14Z,17Z)-eicosatrienoyl-CoA",,kegg.compound/C16179,C41H68N7O17P3S,,m,MMRNM0010m,
15,,"(11Z,14Z,17Z)-eicosatrienoyl-CoA[r]","(11Z,14Z,17Z)-eicosatrienoyl-CoA",,kegg.compound/C16179,C41H68N7O17P3S,,r,MMRNM0010r,
16,,"(11Z,14Z,17Z)-eicosatrienoylcarnitine[c]","(11Z,14Z,17Z)-eicosatrienoylcarnitine",,,C27H47NO4,,c,MMRNM0011c,
17,,"(11Z,14Z,17Z)-eicosatrienoylcarnitine[m]","(11Z,14Z,17Z)-eicosatrienoylcarnitine",,,C27H47NO4,,m,MMRNM0011m,
18,,"(11Z,14Z)-eicosadienoic acid[c]","(11Z,14Z)-eicosadienoic acid",,kegg.compound/C16525,C20H36O2,,c,MMRNM0012c,
19,,"(11Z,14Z)-eicosadienoic acid[r]","(11Z,14Z)-eicosadienoic acid",,kegg.compound/C16525,C20H36O2,,r,MMRNM0012r,
20,,"(11Z,14Z)-eicosadienoic acid[s]","(11Z,14Z)-eicosadienoic acid",,kegg.compound/C16525,C20H36O2,,s,MMRNM0012s,
21,,"(11Z,14Z)-eicosadienoyl-CoA[c]","(11Z,14Z)-eicosadienoyl-CoA",,kegg.compound/C16180,C41H70N7O17P3S,,c,MMRNM0013c,
