,#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
0,,MMRNR00001,R_HMR_0154,H2O[c] + propanoyl-CoA[c] => CoA[c] + propanoate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000025287 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
1,,MMRNR00002,R_HMR_0189,H2O[c] + lauroyl-CoA[c] => CoA[c] + lauric acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
2,,MMRNR00003,R_HMR_0193,H2O[c] + tridecanoyl-CoA[c] => CoA[c] + tridecylic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
3,,MMRNR00004,R_HMR_0197,H2O[c] + myristoyl-CoA[c] => CoA[c] + myristic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
4,,MMRNR00005,R_HMR_0201,(9E)-tetradecenoyl-CoA[c] + H2O[c] => (9E)-tetradecenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
5,,MMRNR00006,R_HMR_0206,(7Z)-tetradecenoyl-CoA[c] + H2O[c] => (7Z)-tetradecenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
6,,MMRNR00007,R_HMR_0210,5-tetradecenoyl-CoA[c] + H2O[c] => CoA[c] + physeteric acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
7,,MMRNR00008,R_HMR_0214,H2O[c] + pentadecanoyl-CoA[c] => CoA[c] + pentadecylic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
8,,MMRNR00009,R_HMR_0223,H2O[c] + palmitoyl-CoA[c] => CoA[c] + palmitate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
9,,MMRNR00010,R_HMR_0230,H2O[c] + palmitoleoyl-CoA[c] => CoA[c] + palmitolate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
10,,MMRNR00011,R_HMR_0234,7-hexadecenoyl-CoA[c] + H2O[c] => 7-palmitoleic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
11,,MMRNR00013,R_HMR_0242,(10Z)-heptadecenoyl-CoA[c] + H2O[c] => (10Z)-heptadecenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
12,,MMRNR00014,R_HMR_0246,9-heptadecenoyl-CoA[c] + H2O[c] => 9-heptadecylenic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
13,,MMRNR00015,R_HMR_0250,H2O[c] + stearoyl-CoA[c] => CoA[c] + stearate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
14,,MMRNR00016,R_HMR_0256,(13Z)-octadecenoyl-CoA[c] + H2O[c] => (13Z)-octadecenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
15,,MMRNR00017,R_HMR_0260,cis-vaccenoyl-CoA[c] + H2O[c] => cis-vaccenic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
16,,MMRNR00018,R_HMR_0264,H2O[c] + oleoyl-CoA[c] => CoA[c] + oleate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
17,,MMRNR00019,R_HMR_0268,(9E)-octadecenoyl-CoA[c] + H2O[c] => CoA[c] + elaidate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
18,,MMRNR00020,R_HMR_0272,(7Z)-octadecenoyl-CoA[c] + H2O[c] => (7Z)-octadecenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
19,,MMRNR00021,R_HMR_0276,"(6Z,9Z)-octadecadienoyl-CoA[c] + H2O[c] => (6Z,9Z)-octadecadienoic acid[c] + CoA[c]",,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
20,,MMRNR00022,R_HMR_0280,H2O[c] + nonadecanoyl-CoA[c] => CoA[c] + nonadecylic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
21,,MMRNR00023,R_HMR_0284,eicosanoyl-CoA[c] + H2O[c] => CoA[c] + eicosanoate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
22,,MMRNR00024,R_HMR_0290,(13Z)-eicosenoyl-CoA[c] + H2O[c] => (13Z)-eicosenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
23,,MMRNR00025,R_HMR_0294,(11Z)-eicosenoyl-CoA[c] + H2O[c] => cis-gondoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000028937 or ENSMUSG00000039653 or ENSMUSG00000052392,,,,,,Acyl-CoA hydrolysis,,,,
