ID,#,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE,old,RetiredID,hmdb,kegg.compound,pubchem.compound,obo.chebi:CHEBI,lipidmaps,metSBOTerms
(-)-Salsolinol[s],,(-)-Salsolinol,,kegg.compound/C09642;hmdb/HMDB05199;chebi/CHEBI:123715;pubchem.compound/54456;vmhmetabolite/C09642;metanetx.chemical/MNXM9366;sbo/SBO:0000247,,"1S/C10H13NO2/c1-6-8-5-10(13)9(12)4-7(8)2-3-11-6/h4-6,11-13H,2-3H2,1H3/p+1/t6-/m0/s1",s,MMRNM0001s,1.0,C09642,C09642[s],HMDB05199,C09642,54456,CHEBI:123715,,SBO:0000247
(-)-trans-carveol[c],,(-)-trans-carveol,,bigg.metabolite/carveol;kegg.compound/C00964;chebi/CHEBI:15389;vmhmetabolite/carveol;metanetx.chemical/MNXM45735;sbo/SBO:0000247,C10H16O,,c,MMRNM0002c,,C00964,C00964[c],,C00964,,CHEBI:15389,,SBO:0000247
(-)-trans-carveol[s],,(-)-trans-carveol,,bigg.metabolite/carveol;kegg.compound/C00964;chebi/CHEBI:15389;vmhmetabolite/carveol;metanetx.chemical/MNXM45735;sbo/SBO:0000247,C10H16O,,s,MMRNM0002s,,C00964,C00964[s],,C00964,,CHEBI:15389,,SBO:0000247
"(+-)-5-Hydroxy-6E,8Z,11Z,14Z,17Z-Eicosapentaenoic Acid[p]",,"(+-)-5-Hydroxy-6E,8Z,11Z,14Z,17Z-Eicosapentaenoic Acid",,pubchem.compound/1766,,"1/C20H30O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19(21)17-15-18-20(22)23/h3-4,6-7,9-10,12-14,16,19,21H,2,5,8,11,15,17-18H2,1H3,(H,22,23)/p-1/b4-3-,7-6-,10-9-,13-12-,16-14+",p,MMRNM0003p,-1.0,Cx583,Cx583[p],,,1766,,,
"(+-)-5-Hydroxy-6E,8Z,11Z,14Z,17Z-Eicosapentaenoic Acid[s]",,"(+-)-5-Hydroxy-6E,8Z,11Z,14Z,17Z-Eicosapentaenoic Acid",,pubchem.compound/1766,,"1/C20H30O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19(21)17-15-18-20(22)23/h3-4,6-7,9-10,12-14,16,19,21H,2,5,8,11,15,17-18H2,1H3,(H,22,23)/p-1/b4-3-,7-6-,10-9-,13-12-,16-14+",s,MMRNM0003s,-1.0,Cx583,Cx583[s],,,1766,,,
(+)-alpha-pinene[c],,(+)-alpha-pinene,,obo.chebi:CHEBI/28261,C10H16,,c,MMRNM0004c,,C06306,C06306[c],,,,CHEBI:28261,,
(+)-alpha-pinene[s],,(+)-alpha-pinene,,,C10H16,,s,MMRNM0004s,,C06306,C06306[s],,,,,,
(+)-Alpha-Tocopherol[s],,(+)-Alpha-Tocopherol,,bigg.metabolite/avite1;kegg.compound/C02477;hmdb/HMDB01893;chebi/CHEBI:18145;pubchem.compound/14985;lipidmaps/LMPR02020000;vmhmetabolite/avite1;metanetx.chemical/MNXM2741;sbo/SBO:0000247,,"1S/C29H50O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h20-22,30H,9-19H2,1-8H3/t21-,22-,29-/m1/s1",s,MMRNM0005s,0.0,C02477,C02477[s],HMDB01893,C02477,14985,CHEBI:18145,LMPR02020000,SBO:0000247
(10Z)-heptadecenoic acid[c],,(10Z)-heptadecenoic acid,,lipidmaps/LMFA01030283,C17H32O2,,c,MMRNM0006c,,Cx1,Cx1[c],,,,,LMFA01030283,
(10Z)-heptadecenoic acid[l],,(10Z)-heptadecenoic acid,,lipidmaps/LMFA01030283,C17H32O2,,l,MMRNM0006l,,Cx1,Cx1[l],,,,,LMFA01030283,
(10Z)-heptadecenoic acid[r],,(10Z)-heptadecenoic acid,,lipidmaps/LMFA01030283,C17H32O2,,r,MMRNM0006r,,Cx1,Cx1[r],,,,,LMFA01030283,
(10Z)-heptadecenoic acid[s],,(10Z)-heptadecenoic acid,,lipidmaps/LMFA01030283,C17H32O2,,s,MMRNM0006s,,Cx1,Cx1[s],,,,,LMFA01030283,
(10Z)-heptadecenoyl-CoA[c],,(10Z)-heptadecenoyl-CoA,,,C38H66N7O17P3S,,c,MMRNM0007c,,Cx2,Cx2[c],,,,,,
(10Z)-heptadecenoyl-CoA[m],,(10Z)-heptadecenoyl-CoA,,,C38H66N7O17P3S,,m,MMRNM0007m,,Cx2,Cx2[m],,,,,,
(10Z)-heptadecenoyl-CoA[r],,(10Z)-heptadecenoyl-CoA,,,C38H66N7O17P3S,,r,MMRNM0007r,,Cx2,Cx2[r],,,,,,
(11R)-HPETE[c],,(11R)-HPETE,,lipidmaps/LMFA03060071,C20H32O4,,c,MMRNM0008c,,Cx3,Cx3[c],,,,,LMFA03060071,
"(11Z,14Z,17Z)-eicosatrienoic acid[c]",,"(11Z,14Z,17Z)-eicosatrienoic acid",,kegg.compound/C16522;chebi/CHEBI:53460;lipidmaps/LMFA01030378;vmhmetabolite/M00010;metanetx.chemical/MNXM8271;sbo/SBO:0000247,C20H34O2,,c,MMRNM0009c,,C16522,C16522[c],,C16522,,CHEBI:53460,LMFA01030378,SBO:0000247
"(11Z,14Z,17Z)-eicosatrienoic acid[l]",,"(11Z,14Z,17Z)-eicosatrienoic acid",,kegg.compound/C16522;chebi/CHEBI:53460;lipidmaps/LMFA01030378;vmhmetabolite/M00010;metanetx.chemical/MNXM8271;sbo/SBO:0000247,C20H34O2,,l,MMRNM0009l,,C16522,C16522[l],,C16522,,CHEBI:53460,LMFA01030378,SBO:0000247
"(11Z,14Z,17Z)-eicosatrienoic acid[r]",,"(11Z,14Z,17Z)-eicosatrienoic acid",,kegg.compound/C16522;chebi/CHEBI:53460;lipidmaps/LMFA01030378;vmhmetabolite/M00010;metanetx.chemical/MNXM8271;sbo/SBO:0000247,C20H34O2,,r,MMRNM0009r,,C16522,C16522[r],,C16522,,CHEBI:53460,LMFA01030378,SBO:0000247
"(11Z,14Z,17Z)-eicosatrienoic acid[s]",,"(11Z,14Z,17Z)-eicosatrienoic acid",,kegg.compound/C16522;chebi/CHEBI:53460;lipidmaps/LMFA01030378;vmhmetabolite/M00010;metanetx.chemical/MNXM8271;sbo/SBO:0000247,C20H34O2,,s,MMRNM0009s,,C16522,C16522[s],,C16522,,CHEBI:53460,LMFA01030378,SBO:0000247
"(11Z,14Z,17Z)-eicosatrienoyl-CoA[c]",,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",,kegg.compound/C16179;chebi/CHEBI:74328;lipidmaps/LMFA07050044;vmhmetabolite/M00012;metanetx.chemical/MNXM162872;metanetx.chemical/MNXM6497;sbo/SBO:0000247,C41H68N7O17P3S,,c,MMRNM0010c,,C16179,C16179[c],,C16179,,CHEBI:74328,LMFA07050044,SBO:0000247
"(11Z,14Z,17Z)-eicosatrienoyl-CoA[m]",,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",,kegg.compound/C16179;chebi/CHEBI:74328;lipidmaps/LMFA07050044;vmhmetabolite/M00012;metanetx.chemical/MNXM162872;metanetx.chemical/MNXM6497;sbo/SBO:0000247,C41H68N7O17P3S,,m,MMRNM0010m,,C16179,C16179[m],,C16179,,CHEBI:74328,LMFA07050044,SBO:0000247
"(11Z,14Z,17Z)-eicosatrienoyl-CoA[r]",,"(11Z,14Z,17Z)-eicosatrienoyl-CoA",,kegg.compound/C16179;chebi/CHEBI:74328;lipidmaps/LMFA07050044;vmhmetabolite/M00012;metanetx.chemical/MNXM162872;metanetx.chemical/MNXM6497;sbo/SBO:0000247,C41H68N7O17P3S,,r,MMRNM0010r,,C16179,C16179[r],,C16179,,CHEBI:74328,LMFA07050044,SBO:0000247
"(11Z,14Z,17Z)-eicosatrienoylcarnitine[c]",,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",,,C27H47NO4,,c,MMRNM0011c,,Cx6,Cx6[c],,,,,,
"(11Z,14Z,17Z)-eicosatrienoylcarnitine[m]",,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",,,C27H47NO4,,m,MMRNM0011m,,Cx6,Cx6[m],,,,,,
"(11Z,14Z,17Z)-eicosatrienoylcarnitine[r]",,"(11Z,14Z,17Z)-eicosatrienoylcarnitine",,,C27H47NO4,,r,MMRNM0011r,,Cx6,Cx6[r],,,,,,
"(11Z,14Z)-eicosadienoic acid[c]",,"(11Z,14Z)-eicosadienoic acid",,kegg.compound/C16525;chebi/CHEBI:77220;lipidmaps/LMFA01030130;vmhmetabolite/M00008;metanetx.chemical/MNXM11473;sbo/SBO:0000247,C20H36O2,,c,MMRNM0012c,,C16525,C16525[c],,C16525,,CHEBI:77220,LMFA01030130,SBO:0000247
"(11Z,14Z)-eicosadienoic acid[l]",,"(11Z,14Z)-eicosadienoic acid",,kegg.compound/C16525;chebi/CHEBI:77220;lipidmaps/LMFA01030130;vmhmetabolite/M00008;metanetx.chemical/MNXM11473;sbo/SBO:0000247,C20H36O2,,l,MMRNM0012l,,C16525,C16525[l],,C16525,,CHEBI:77220,LMFA01030130,SBO:0000247
"(11Z,14Z)-eicosadienoic acid[r]",,"(11Z,14Z)-eicosadienoic acid",,kegg.compound/C16525;chebi/CHEBI:77220;lipidmaps/LMFA01030130;vmhmetabolite/M00008;metanetx.chemical/MNXM11473;sbo/SBO:0000247,C20H36O2,,r,MMRNM0012r,,C16525,C16525[r],,C16525,,CHEBI:77220,LMFA01030130,SBO:0000247
"(11Z,14Z)-eicosadienoic acid[s]",,"(11Z,14Z)-eicosadienoic acid",,kegg.compound/C16525;chebi/CHEBI:77220;lipidmaps/LMFA01030130;vmhmetabolite/M00008;metanetx.chemical/MNXM11473;sbo/SBO:0000247,C20H36O2,,s,MMRNM0012s,,C16525,C16525[s],,C16525,,CHEBI:77220,LMFA01030130,SBO:0000247
