MMRN_index,#,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE,rxnKEGGID,rxnMetaNetXID,rxnREACTOMEID,rxnRheaID,rxnRheaMasterID,rxnBiGGID,rxnRheaFinal,rxnSBOTerms,ECNumber,RetiredID
MMRNR00001,,R_HMR_0154,H2O[c] + propanoyl-CoA[c] => CoA[c] + propanoate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000025287 or ENSMUSG00000039653,,,,,vmhreaction/RE2649C;rhea/40104;rhea/40103;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,RHEA:40104,RHEA:40103,nan,40104; 40103,SBO:0000176,3.1.2.2,HMR_0154
MMRNR00002,,R_HMR_0189,H2O[c] + lauroyl-CoA[c] => CoA[c] + lauric acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0189;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0189
MMRNR00003,,R_HMR_0193,H2O[c] + tridecanoyl-CoA[c] => CoA[c] + tridecylic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0193;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0193
MMRNR00004,,R_HMR_0197,H2O[c] + myristoyl-CoA[c] => CoA[c] + myristic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0197;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0197
MMRNR00005,,R_HMR_0201,(9E)-tetradecenoyl-CoA[c] + H2O[c] => (9E)-tetradecenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0201;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0201
MMRNR00006,,R_HMR_0206,(7Z)-tetradecenoyl-CoA[c] + H2O[c] => (7Z)-tetradecenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0206;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0206
MMRNR00007,,R_HMR_0210,5-tetradecenoyl-CoA[c] + H2O[c] => CoA[c] + physeteric acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0210;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0210
MMRNR00008,,R_HMR_0214,H2O[c] + pentadecanoyl-CoA[c] => CoA[c] + pentadecylic acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0214;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0214
MMRNR00009,,R_HMR_0223,H2O[c] + palmitoyl-CoA[c] => CoA[c] + palmitate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,kegg.reaction/R01274;vmhreaction/HDCAc;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,R01274,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0223
MMRNR00010,,R_HMR_0230,H2O[c] + palmitoleoyl-CoA[c] => CoA[c] + palmitolate[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0230;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0230
MMRNR00011,,R_HMR_0234,7-hexadecenoyl-CoA[c] + H2O[c] => 7-palmitoleic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0234;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0234
MMRNR00012,,R_HMR_0238,H2O[c] + heptadecanoyl-CoA[c] => CoA[c] + margaric acid[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0238;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0238
MMRNR00013,,R_HMR_0242,(10Z)-heptadecenoyl-CoA[c] + H2O[c] => (10Z)-heptadecenoic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0242;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0242
MMRNR00014,,R_HMR_0246,9-heptadecenoyl-CoA[c] + H2O[c] => 9-heptadecylenic acid[c] + CoA[c],,ENSMUSG00000021226 or ENSMUSG00000021228 or ENSMUSG00000052392 or ENSMUSG00000043487 or ENSMUSG00000028937 or ENSMUSG00000039653,,,,,vmhreaction/HMR_0246;sbo/SBO:0000176,Acyl-CoA hydrolysis,,3.1.2.2,,0.0,nan,nan,nan,nan,nan,nan,,SBO:0000176,3.1.2.2,HMR_0246
