NAME,#,MIRIAM,SHORT NAME,COMPARTMENT,ensembl_gene,ensembl_transcript,ensembl_protein,entrez_gene,refseq_gene,uniprot_gene
ENSMUSG00000000088,,,,,ENSMUSG00000000088,ENSMUST00000000090; ENSMUST00000213678; ENSMUST00000214154,ENSMUSP00000000090,12858,NC_000075.7,P12787
ENSMUSG00000000131,,,,,ENSMUSG00000000131,ENSMUST00000009344; ENSMUST00000163959; ENSMUST00000164741; ENSMUST00000165608; ENSMUST00000165660; ENSMUST00000166368; ENSMUST00000166538; ENSMUST00000166540; ENSMUST00000166719; ENSMUST00000167147; ENSMUST00000167268; ENSMUST00000167315; ENSMUST00000168189; ENSMUST00000168564; ENSMUST00000168649; ENSMUST00000168933; ENSMUST00000169059; ENSMUST00000170675; ENSMUST00000171861; ENSMUST00000206784,ENSMUSP00000009344; ENSMUSP00000126904; ENSMUSP00000127323; ENSMUSP00000128058; ENSMUSP00000128919; ENSMUSP00000129658; ENSMUSP00000129881; ENSMUSP00000130527; ENSMUSP00000131299; ENSMUSP00000132205; ENSMUSP00000132462; ENSMUSP00000132958,74204,NC_000073.7,Q924Z6
ENSMUSG00000000154,,,,,ENSMUSG00000000154,ENSMUST00000052348; ENSMUST00000105917; ENSMUST00000141988; ENSMUST00000145943; ENSMUST00000150791,ENSMUSP00000056082; ENSMUSP00000101537; ENSMUSP00000115345; ENSMUSP00000120434; ENSMUSP00000123047,18400,NC_000073.7,Q78KK3;D6RDC9;A0A0R4J0P7;D6RGN1
ENSMUSG00000000168,,,,,ENSMUSG00000000168,ENSMUST00000034567; ENSMUST00000125919; ENSMUST00000126933; ENSMUST00000132455; ENSMUST00000142275; ENSMUST00000155417,ENSMUSP00000034567,235339,NC_000075.7,Q8BMF4
ENSMUSG00000000171,,,,,ENSMUSG00000000171,ENSMUST00000000175,ENSMUSP00000000175,66925,NC_000075.7,Q9CXV1
ENSMUSG00000000214,,,,,ENSMUSG00000000214,ENSMUST00000000219; ENSMUST00000105929; ENSMUST00000123057; ENSMUST00000124951; ENSMUST00000138482; ENSMUST00000140344,ENSMUSP00000000219; ENSMUSP00000101549; ENSMUSP00000115434; ENSMUSP00000122162; ENSMUSP00000122876; ENSMUSP00000123661,21823,NC_000073.7,P24529
ENSMUSG00000000253,,,,,ENSMUSG00000000253,ENSMUST00000000260; ENSMUST00000128873; ENSMUST00000129176; ENSMUST00000222227,ENSMUSP00000000260; ENSMUSP00000120825,66355,NC_000079.7,Q9DCZ1
ENSMUSG00000000276,,,,,ENSMUSG00000000276,ENSMUST00000000285; ENSMUST00000107894; ENSMUST00000152772,ENSMUSP00000000285; ENSMUSP00000103526; ENSMUSP00000116277,56077,NC_000077.7,Q9R1C6
ENSMUSG00000000301,,,,,ENSMUSG00000000301,ENSMUST00000000310; ENSMUST00000102692; ENSMUST00000102693; ENSMUST00000133028; ENSMUST00000136660; ENSMUST00000143646; ENSMUST00000146461; ENSMUST00000147422; ENSMUST00000148512; ENSMUST00000150954,ENSMUSP00000000310; ENSMUSP00000099753; ENSMUSP00000099754; ENSMUSP00000116314; ENSMUSP00000120364,18618,NC_000077.7,Q61907
ENSMUSG00000000308,,,,,ENSMUSG00000000308,ENSMUST00000000317; ENSMUST00000078222; ENSMUST00000125221; ENSMUST00000125812; ENSMUST00000126130; ENSMUST00000128612; ENSMUST00000129130; ENSMUST00000145380; ENSMUST00000150271; ENSMUST00000153040,ENSMUSP00000000317; ENSMUSP00000077349; ENSMUSP00000115501; ENSMUSP00000115610; ENSMUSP00000117463; ENSMUSP00000120507; ENSMUSP00000121930; ENSMUSP00000123130,12716,NC_000068.8,P30275;Q545N7
ENSMUSG00000000320,,,,,ENSMUSG00000000320,ENSMUST00000000329; ENSMUST00000108574,ENSMUSP00000000329; ENSMUSP00000104214,11684,NC_000077.7,P39655;A2CF85
ENSMUSG00000000326,,,,,ENSMUSG00000000326,ENSMUST00000000335; ENSMUST00000115609; ENSMUST00000147720; ENSMUST00000165430,ENSMUSP00000000335; ENSMUSP00000111272; ENSMUSP00000121810; ENSMUSP00000130077,12846,NC_000082.7,O88587
ENSMUSG00000000339,,,,,ENSMUSG00000000339,ENSMUST00000000348; ENSMUST00000124486; ENSMUST00000140677; ENSMUST00000143425; ENSMUST00000153005,ENSMUSP00000000348; ENSMUSP00000117610; ENSMUSP00000119463; ENSMUSP00000121357,66368,NC_000069.7,Q9D7H3
ENSMUSG00000000340,,,,,ENSMUSG00000000340,ENSMUST00000000349; ENSMUST00000196376; ENSMUST00000197201; ENSMUST00000199614,ENSMUSP00000000349; ENSMUSP00000143696; ENSMUSP00000143713,13171,NC_000069.7,P53395
